"year","fog_days","storm_days","station_days","fog_per_100_storm"
1990,143,203,1825,70.4
1991,145,156,1825,92.9
1992,144,159,1830,90.6
1993,171,239,1825,71.5
1994,161,207,1825,77.8
1995,184,156,1825,117.9
1996,180,155,1830,116.1
1997,182,180,1825,101.1
1998,135,172,1825,78.5
1999,133,184,1825,72.3
2000,150,180,1830,83.3
2001,87,129,1825,67.4
2002,94,176,1825,53.4
2003,139,160,1825,86.9
2004,122,142,1830,85.9
2005,120,123,1825,97.6
2006,123,161,1825,76.4
2007,90,165,1825,54.5
2008,86,164,1830,52.4
2009,100,182,1825,54.9
2010,92,126,1825,73
2011,152,146,1825,104.1
2012,84,171,1830,49.1
2013,99,99,1825,100
2014,107,166,1825,64.5
2015,86,117,1825,73.5
2016,81,153,1830,52.9
2017,61,188,1825,32.4
2018,81,193,1825,42
2019,53,80,1824,66.2
2020,102,77,1830,132.5
2021,82,98,1825,83.7
